age,workclass,edu,yearsedu,married,occupation,relationship,race,sex,income,loss,hours,country,y
9.231,80,42,2.8648,65,26,68,101,59,0,0,12.732,98,0
5.4113,80,4,2.8648,65,79,73,101,37,10853,0,7.9577,98,0
9.5493,80,3,2.2282,65,96,73,101,59,0,0,12.732,98,0
9.8676,57,42,2.8648,65,14,68,101,37,0,0,12.732,98,0
13.369,80,42,2.8648,61,44,49,101,59,0,0,12.732,98,0
7.6394,80,20,4.138,65,85,70,101,59,0,0,12.732,98,0
8.9127,80,90,3.1831,61,85,103,101,37,1293.6,0,7.9577,98,0
7.0028,80,42,2.8648,65,58,73,101,37,0,0,12.732,98,0
16.87,80,8,1.5915,61,26,49,101,59,0,0,15.915,98,0
17.825,87,90,3.1831,61,85,49,101,59,0,0,15.915,98,0
21.327,80,90,3.1831,61,85,49,101,59,0,0,12.732,98,0
7.0028,80,42,2.8648,65,26,68,101,59,0,0,13.051,98,0
6.6845,80,90,3.1831,65,71,73,101,37,0,0,12.732,98,0
19.417,80,20,4.138,61,34,49,101,59,0,0,19.099,98,0
9.5493,80,42,2.8648,65,34,73,21,59,0,0,12.732,39,0
6.0479,80,90,3.1831,65,71,73,21,37,0,0,11.141,98,0
7.9577,80,90,3.1831,65,14,73,101,37,0,547.17,8.9127,98,0
11.141,80,42,2.8648,61,96,49,101,59,0,0,12.732,98,0
12.414,80,90,3.1831,28,26,68,101,59,0,0,12.732,98,0
8.9127,80,18,3.8197,65,85,68,101,37,0,0,19.099,98,0
7.6394,80,42,2.8648,65,71,68,101,59,0,560.86,12.732,98,0
12.096,88,42,2.8648,61,58,49,101,59,1396.1,0,14.324,98,0
11.777,80,20,4.138,61,85,49,101,59,0,0,15.915,98,0
14.642,80,18,3.8197,28,94,68,101,59,0,0,11.459,98,0
13.687,88,42,2.8648,61,26,49,101,59,0,0,19.099,98,0
13.369,80,19,3.5014,61,14,103,101,37,0,0,11.141,98,0
6.3662,80,90,3.1831,65,85,68,101,59,0,0,12.732,98,0
17.507,80,42,2.8648,61,26,49,101,59,0,0,12.732,98,0
8.5944,80,90,3.1831,65,85,73,101,37,0,0,12.732,98,0
6.0479,80,90,3.1831,65,71,73,101,59,0,0,9.5493,64,0
22.282,80,90,3.1831,61,94,49,101,59,0,0,12.732,98,0
9.8676,80,42,2.8648,65,96,99,21,37,0,0,9.5493,98,0
7.0028,80,42,3.1831,61,71,49,101,59,0,0,7.6394,98,0
12.096,80,42,2.8648,102,14,68,101,37,0,0,7.6394,98,0
20.372,80,3,2.2282,61,35,49,101,59,0,693.6,12.732,98,0
13.687,57,90,3.1831,28,83,68,101,59,0,0,11.141,98,0
14.961,57,90,3.1831,28,14,99,101,37,0,0,12.096,64,0
10.823,80,42,2.8648,65,14,68,101,37,0,0,12.732,98,0
10.504,80,20,4.138,65,34,70,17,37,0,0,9.5493,98,0
6.6845,80,2,2.8648,65,26,73,101,59,0,0,4.4563,98,0
18.144,80,42,2.8648,61,26,49,101,59,0,0,14.642,98,0
7.3211,80,20,4.138,61,44,49,101,59,0,0,12.732,98,0
22.6,80,2,3.1831,89,85,99,21,59,0,0,0.63662,98,0
9.231,80,42,2.8648,28,26,68,21,59,0,0,19.099,98,0
13.369,80,20,4.138,89,71,70,21,59,0,0,15.915,98,0
21.645,92,5,0.63662,28,71,68,101,37,0,0,6.3662,98,0
7.9577,80,42,2.8648,65,14,68,101,37,0,0,12.732,98,0
14.006,92,63,4.4563,61,82,103,101,37,0,0,12.732,98,0
8.9127,80,42,2.8648,65,34,68,17,59,0,0,12.732,33,0
11.459,80,90,3.1831,28,71,99,21,37,0,0,4.7746,64,0
12.414,36,18,3.8197,65,34,68,101,59,0,0,13.369,98,0
26.738,92,63,4.4563,102,83,99,101,59,0,0,6.0479,98,0
8.2761,80,3,2.2282,65,44,73,101,59,0,0,5.093,98,0
21.008,57,19,3.5014,102,82,68,101,37,0,0,7.3211,54,0
8.5944,80,42,2.8648,65,71,68,101,59,0,0,7.6394,98,0
11.777,92,42,2.8648,61,83,49,101,59,0,0,12.732,98,0
8.9127,80,20,4.138,65,26,68,101,59,0,0,12.732,98,0
12.096,80,42,2.8648,62,85,99,101,37,0,0,7.9577,98,0
6.6845,80,42,2.8648,65,26,73,21,59,0,0,12.732,98,0
10.823,80,42,2.8648,65,26,68,21,59,0,0,12.732,98,0
5.7296,80,42,2.8648,65,71,73,101,59,0,0,3.8197,98,0
10.504,80,90,4.138,61,82,49,101,59,4782.3,0,20.69,98,0
13.687,80,90,3.1831,28,14,68,101,37,0,0,12.732,98,0
9.5493,80,20,3.1831,65,26,68,21,59,0,0,14.324,98,0
10.823,80,42,2.8648,61,14,49,21,59,0,0,12.732,98,0
13.051,88,18,4.138,28,34,68,101,37,0,0,12.732,98,0
16.87,57,63,4.138,28,71,68,101,37,0,0,15.915,98,0
9.8676,57,63,4.4563,61,82,103,101,37,0,0,15.915,98,0
12.096,92,90,3.1831,28,14,73,101,37,0,0,6.3662,98,0
7.6394,80,90,3.1831,61,83,49,101,59,0,0,17.507,55,0
13.051,57,20,4.138,61,82,49,101,59,0,0,12.732,98,0
14.961,80,90,3.1831,61,26,49,101,59,0,0,14.324,98,0
22.282,36,20,4.138,61,94,49,101,59,31831,0,7.6394,93,0
7.3211,80,6,0.95493,61,96,70,101,59,0,0,12.732,64,0
11.459,80,90,3.1831,28,26,68,101,59,0,0,12.732,98,0
7.6394,80,42,2.8648,65,85,68,101,59,0,0,12.732,98,0
8.2761,80,63,4.4563,65,82,68,101,59,0,597.15,12.732,98,0
6.0479,80,42,2.8648,65,44,73,101,59,0,0,12.732,53,0
13.369,57,90,3.1831,65,14,68,101,37,0,426.54,12.732,98,0
11.777,80,42,2.8648,28,14,99,101,37,0,0,11.141,98,0
5.7296,80,7,2.2282,65,85,73,101,37,0,0,12.732,98,0
11.141,80,42,2.8648,28,26,68,101,59,0,0,19.099,98,0
5.4113,80,3,2.2282,65,85,73,101,37,0,0,3.8197,98,0
14.006,80,42,2.8648,61,96,49,21,59,0,0,12.732,98,0
11.141,80,63,3.1831,65,85,68,15,37,0,0,12.732,98,0
19.099,80,90,2.8648,61,26,49,17,59,0,0,12.732,98,0
15.915,80,18,3.8197,28,85,68,101,37,0,0,12.732,98,0
12.096,80,20,4.138,61,85,49,101,59,0,0,15.915,98,0
14.324,87,20,4.138,61,34,49,101,59,0,0,17.507,98,0
7.9577,80,2,1.9099,65,26,68,101,37,0,0,12.732,98,0
9.231,80,90,3.1831,61,44,49,101,59,0,0,12.732,98,0
9.5493,80,5,0.63662,28,71,68,101,59,0,0,12.732,98,0
28.648,80,42,2.8648,65,71,68,21,59,0,702.19,12.732,98,0
17.189,80,42,2.8648,61,14,49,21,59,0,0,6.3662,98,0
16.87,57,78,0.31831,65,58,68,101,37,0,0,11.141,98,0
5.7296,80,78,2.8648,65,85,73,101,37,0,0,12.732,40,0
19.099,80,2,1.9099,28,71,68,15,37,0,0,3.1831,98,0
15.597,88,42,2.8648,61,35,49,101,59,0,0,19.099,98,0
7.0028,80,19,3.5014,65,14,68,101,37,0,0,6.3662,25,0
20.69,80,42,2.8648,89,14,68,101,37,0,0,12.732,98,0
11.141,80,42,2.2282,89,96,68,21,59,0,0,12.732,98,0
13.051,80,42,2.8648,28,85,99,21,37,0,0,12.096,98,0
7.9577,80,90,3.1831,65,14,68,101,59,0,0,13.369,98,0
10.504,80,90,3.1831,28,94,70,69,37,0,0,12.732,98,0
18.78,92,42,2.8648,61,71,49,101,59,0,0,12.732,98,0
12.732,92,90,3.1831,65,14,68,101,37,0,0,12.096,98,0
7.3211,80,42,2.8648,65,96,73,101,59,0,0,12.732,98,0
13.051,88,42,3.8197,61,34,103,101,37,0,0,6.3662,98,0
7.6394,80,20,3.8197,61,58,49,101,59,0,0,15.915,98,0
6.3662,80,42,3.1831,65,94,73,101,37,0,0,6.3662,98,0
12.096,80,42,3.1831,28,58,68,101,59,0,554.18,12.732,98,0
14.642,80,42,2.8648,61,14,49,101,59,0,554.18,11.141,98,0
10.186,80,42,2.8648,65,71,68,101,59,0,0,10.823,98,0
14.324,80,42,2.8648,61,14,49,101,59,0,0,12.732,98,0
13.369,80,20,4.138,61,14,103,101,37,0,0,12.732,98,0
18.78,57,2,1.9099,102,71,99,21,37,0,0,9.5493,98,0
6.0479,80,63,3.1831,65,44,73,101,59,0,0,12.732,100,0
7.3211,80,90,3.1831,65,14,68,101,59,0,0,6.3662,98,0
6.3662,80,42,2.8648,65,71,73,101,37,0,0,6.3662,98,0
10.186,80,42,2.8648,89,71,68,101,37,0,0,9.5493,98,0
14.324,80,19,3.1831,102,34,68,101,37,0,0,14.324,74,0
15.915,80,2,1.2732,65,26,68,101,37,0,0,12.096,98,0
11.459,80,90,4.138,28,82,73,101,37,0,0,12.732,98,0
11.459,80,90,2.8648,61,85,49,101,59,0,0,19.099,98,0
5.4113,80,3,2.2282,65,71,73,101,59,0,0,12.732,98,0
18.78,80,90,3.1831,61,85,49,101,59,1293.6,0,12.732,98,0
8.2761,80,3,2.2282,61,26,49,101,59,0,0,12.732,98,0
6.0479,80,2,3.1831,65,58,73,101,59,0,0,7.6394,23,0
10.504,80,20,4.138,65,82,68,101,37,0,0,14.324,98,0
7.3211,80,8,1.5915,65,71,73,101,59,335.82,0,7.6394,98,0
15.915,88,63,4.4563,61,35,49,101,59,0,0,31.194,98,0
8.5944,57,63,4.4563,65,82,73,101,37,0,0,11.141,98,0
9.5493,80,42,2.8648,65,44,73,101,59,0,0,12.732,98,0
13.687,80,42,2.8648,61,44,49,101,59,0,0,12.732,98,0
11.141,80,90,3.1831,65,85,68,101,37,0,0,12.732,98,0
7.9577,80,90,3.1831,65,85,73,101,37,0,0,12.732,98,0
7.0028,80,20,4.138,65,82,68,101,37,0,0,12.732,39,0
10.823,80,18,3.8197,28,85,99,21,37,0,0,14.324,98,0
19.099,80,20,4.138,28,82,68,101,37,0,0,13.369,98,0
6.6845,80,42,2.8648,65,35,73,101,59,0,0,12.732,98,0
15.915,80,90,3.1831,28,71,68,101,59,0,0,7.9577,98,0
7.9577,80,90,4.138,65,34,68,101,37,0,0,12.732,98,0
15.915,80,7,1.2732,61,26,49,101,59,0,0,12.732,98,0
11.459,80,20,4.138,61,34,49,101,59,0,0,14.324,98,0
9.8676,80,42,2.8648,28,82,99,101,37,0,0,12.732,98,0
9.231,57,20,4.138,65,83,68,101,59,0,0,12.732,98,0
6.6845,80,90,3.1831,65,85,73,101,59,0,0,14.324,98,0
13.369,80,20,4.138,65,94,99,21,37,0,0,12.732,98,0
20.69,80,42,2.8648,61,96,49,101,59,0,0,5.093,98,0
11.777,87,20,4.138,65,85,73,101,37,0,0,19.099,98,0
12.414,88,63,4.4563,61,94,103,101,37,1102.6,0,12.732,50,0
7.6394,80,42,2.8648,65,26,73,101,59,0,0,12.732,98,0
12.096,80,42,2.8648,28,85,68,101,59,0,0,25.465,98,0
6.6845,80,90,3.1831,65,71,73,17,37,0,0,7.9577,98,0
7.6394,80,90,3.1831,61,14,103,17,37,0,0,12.732,56,0
13.687,80,42,2.8648,28,14,68,101,37,0,0,12.732,98,0
6.6845,80,18,3.8197,65,94,73,101,59,0,0,10.186,98,0
14.642,80,18,3.8197,65,82,68,101,37,0,0,10.504,98,0
8.2761,80,20,4.138,65,85,68,101,59,0,0,12.732,98,0
6.0479,80,90,3.1831,65,14,73,101,37,0,0,7.9577,98,0
7.0028,80,90,3.1831,65,85,73,101,59,0,0,4.7746,98,0
7.6394,80,42,3.1831,65,58,68,101,59,0,0,12.732,98,0
24.51,88,90,3.1831,61,85,49,101,59,0,0,12.732,27,0
7.0028,80,6,0.95493,61,58,70,101,37,0,0,12.732,64,0
9.231,80,90,3.1831,65,94,68,101,37,0,0,12.732,98,0
19.735,80,42,2.8648,102,71,68,101,37,0,0,7.6394,98,0
12.414,88,42,2.8648,61,34,49,101,59,0,0,12.732,98,0
12.096,80,90,3.1831,61,26,49,101,59,0,472.69,15.915,97,0
11.141,80,42,2.8648,28,96,68,101,59,0,0,12.732,98,0
9.231,80,3,2.2282,65,34,68,101,37,0,0,12.732,98,0
24.192,88,63,4.4563,61,85,49,101,59,0,0,3.1831,98,0
17.825,80,42,2.8648,61,26,49,101,59,0,0,14.324,98,0
7.3211,57,19,3.5014,65,71,73,21,37,0,0,4.7746,98,0
18.462,88,42,2.8648,61,44,49,101,59,0,0,12.732,98,0
21.008,80,7,2.8648,65,96,68,101,59,652.54,0,17.507,98,0
13.051,80,90,3.1831,89,26,68,21,59,0,0,14.324,98,0
8.2761,80,20,4.138,65,14,68,101,59,0,0,12.732,98,0
14.961,80,19,3.5014,65,96,68,21,59,0,0,12.732,98,0
17.507,57,2,1.9099,61,14,49,101,59,0,0,12.732,98,0
7.6394,80,90,3.1831,61,96,49,101,59,0,0,12.732,98,0
5.4113,80,42,0.95493,65,71,70,101,59,0,0,15.279,64,0
9.5493,80,3,2.8648,65,35,70,101,59,0,0,12.732,95,0
15.597,80,63,4.4563,65,82,68,101,59,0,0,19.099,98,0
7.0028,80,42,2.8648,65,85,99,21,37,0,0,9.5493,43,0
14.324,80,42,2.8648,61,71,49,21,59,0,0,12.732,98,0
8.2761,80,18,3.8197,65,44,68,101,59,0,0,12.732,98,0
14.642,80,42,2.8648,65,35,73,101,59,0,0,6.3662,98,0
7.0028,92,90,3.1831,65,83,73,21,37,0,0,12.732,98,0
13.687,88,20,4.138,65,85,68,101,59,0,0,12.732,98,0
21.327,66,3,2.2282,61,71,49,101,59,0,0,2.5465,98,0
13.687,57,19,3.5014,28,26,99,101,37,0,0,12.732,98,0
17.825,80,18,3.8197,62,71,68,101,59,0,0,7.9577,51,0
9.8676,80,20,4.138,65,82,73,101,59,0,0,7.9577,98,0
12.732,80,42,2.8648,61,71,49,101,59,0,0,12.732,98,0
14.642,80,3,2.2282,61,26,49,101,59,0,0,9.5493,98,0
20.69,80,3,2.2282,102,71,99,69,59,0,0,12.732,98,0
7.3211,80,42,2.8648,61,14,103,101,37,0,0,11.141,98,0
8.2761,80,8,1.5915,61,26,49,101,59,0,0,12.732,77,0
11.459,80,90,3.1831,61,71,103,101,37,0,0,7.6394,98,0
13.687,80,20,4.138,61,96,49,101,59,0,0,12.732,98,0
7.0028,80,42,2.8648,62,85,68,101,59,741.34,0,17.507,98,0
14.006,80,42,2.8648,61,26,49,101,59,0,0,12.732,98,0
17.825,57,90,3.1831,61,35,49,101,59,0,0,14.324,98,0
7.0028,80,18,3.8197,65,85,99,101,37,0,0,4.7746,98,0
12.414,80,42,2.8648,28,85,99,101,37,0,0,12.732,98,0
8.2761,36,20,3.1831,65,14,99,101,37,0,0,4.7746,98,0
5.4113,80,3,2.2282,65,58,73,101,59,0,0,3.1831,98,0
14.324,80,42,2.8648,61,35,49,21,59,0,0,12.732,98,0
14.006,80,42,2.8648,65,26,68,21,59,0,0,12.732,98,0
6.3662,57,90,3.1831,65,14,73,101,59,0,0,3.1831,98,0
13.051,80,42,2.8648,61,26,103,101,37,0,0,12.732,91,0
7.3211,80,90,3.1831,65,85,68,101,59,0,0,12.732,98,0
14.642,88,63,4.4563,28,34,68,101,59,0,0,9.5493,98,0
15.597,80,42,2.8648,61,85,49,101,59,0,0,15.915,98,0
17.189,80,42,2.8648,28,71,99,101,59,0,0,12.732,98,0
14.642,80,6,0.95493,28,26,68,101,37,0,744.53,20.69,98,0
14.642,80,90,3.1831,61,26,49,21,59,0,0,12.732,98,0
14.642,80,90,3.1831,65,14,68,101,37,0,0,12.732,98,0
9.5493,57,90,3.1831,61,96,103,101,37,0,0,12.732,98,0
7.3211,80,42,2.8648,65,71,68,101,37,0,0,7.9577,98,0
9.231,80,2,2.8648,89,85,68,101,59,0,0,12.732,98,0
6.0479,80,90,3.1831,65,14,73,101,37,0,0,5.093,93,0
6.0479,80,42,2.8648,65,44,70,101,37,0,0,12.732,93,0
8.5944,80,20,4.138,65,26,68,101,59,0,0,15.915,98,0
14.642,88,18,3.8197,89,26,99,101,59,0,0,12.732,98,0
10.823,80,42,2.8648,65,71,70,101,37,0,0,11.141,98,0
14.006,80,90,3.1831,61,94,49,101,59,0,0,15.915,98,0
15.915,80,90,3.1831,28,44,99,101,37,0,0,12.732,98,0
6.3662,80,42,2.8648,65,71,70,101,37,0,0,11.141,75,0
6.3662,80,90,3.1831,65,44,73,101,59,0,0,12.732,98,0
8.9127,80,90,3.1831,65,71,73,101,37,0,0,7.9577,93,0
10.823,80,19,3.5014,28,94,68,101,37,0,0,14.324,98,0
8.9127,80,7,1.2732,61,44,49,69,59,0,0,12.732,84,0
8.9127,80,42,2.8648,61,26,49,101,59,0,0,12.732,98,0
14.642,80,42,2.8648,61,26,49,101,59,0,0,31.194,98,0
10.186,80,90,3.1831,61,34,49,101,59,0,0,17.189,98,0
10.186,57,90,3.1831,28,71,73,21,37,0,0,7.6394,98,0
7.6394,80,42,2.8648,65,44,99,21,37,0,0,22.282,98,0
10.504,80,90,3.1831,28,34,99,101,37,0,0,12.732,98,0
9.8676,92,90,3.1831,61,58,49,101,59,0,0,12.732,84,0
16.552,80,5,0.63662,61,58,49,101,59,0,0,12.732,105,0
9.5493,80,3,2.2282,65,71,73,101,37,0,0,6.0479,27,0
10.823,80,3,2.2282,89,58,68,21,37,0,0,12.732,98,0
10.823,92,42,3.1831,28,14,99,101,37,0,0,12.732,98,0
6.3662,80,42,3.1831,61,85,49,101,59,0,0,9.5493,98,0
5.4113,80,3,2.2282,65,44,73,101,59,692.64,0,5.7296,98,0
10.504,80,42,2.8648,65,58,68,101,37,0,0,12.732,98,0
10.504,80,2,2.2282,65,26,99,101,37,0,0,15.915,98,0
7.9577,80,42,2.8648,61,26,49,101,59,0,0,19.099,98,0
11.459,92,63,4.4563,65,82,68,101,37,0,448.18,12.732,98,0
7.3211,80,42,2.8648,65,44,68,101,59,0,0,12.096,98,0
14.961,57,63,4.4563,61,82,49,101,59,0,0,12.732,98,0
25.465,80,42,2.8648,102,14,68,101,37,0,0,12.732,98,0
5.4113,36,90,2.2282,65,58,73,101,59,0,0,12.732,93,0
12.414,88,20,4.138,62,82,68,101,37,692.01,0,12.732,98,0
9.231,80,90,3.1831,65,26,73,17,59,0,630.25,12.732,75,0
10.823,57,90,2.8648,65,35,68,21,59,189.08,0,19.099,98,0
10.823,57,90,3.1831,65,83,68,101,59,0,0,28.648,98,0
7.3211,80,90,3.1831,60,14,49,101,59,0,0,12.732,98,0
13.369,80,90,3.1831,61,14,103,101,37,0,0,12.732,98,0
9.231,80,20,4.138,65,82,68,101,59,0,0,12.732,98,0
14.324,80,42,2.8648,28,14,99,101,37,0,0,10.186,98,0
7.3211,36,42,2.8648,65,16,73,101,59,0,0,12.732,98,0
8.5944,80,8,1.5915,65,26,70,101,59,0,0,12.732,64,0
6.3662,80,90,3.1831,65,85,73,101,59,0,0,11.141,98,0
14.006,80,42,2.8648,102,34,99,21,37,0,0,12.732,98,0
16.234,80,42,2.8648,61,44,49,15,59,0,0,12.732,98,0
6.3662,80,42,2.8648,61,58,49,101,59,0,0,12.732,98,0
5.4113,80,3,2.5465,65,85,73,101,37,0,0,1.5915,98,0
7.0028,80,42,2.8648,65,58,99,21,37,0,0,12.732,98,0
9.5493,80,42,2.8648,61,34,103,101,37,0,0,12.732,98,0
12.096,80,90,3.1831,61,96,49,21,59,0,0,15.915,98,0
7.3211,80,42,2.8648,61,96,49,101,59,0,0,19.099,98,0
10.186,80,90,3.1831,61,85,49,101,59,0,0,12.732,98,0
14.006,80,20,3.8197,65,35,73,101,59,0,0,12.732,98,0
17.189,57,42,2.8648,61,96,49,21,59,0,0,12.732,98,0
10.186,80,18,4.138,61,82,49,101,59,0,0,15.915,84,0
15.915,87,5,0.63662,62,26,99,101,59,0,0,12.732,98,0
7.6394,80,20,4.138,65,94,68,101,37,0,0,6.3662,98,0
11.777,80,42,2.8648,61,14,103,101,37,0,0,19.099,98,0
14.006,80,42,2.8648,28,96,99,101,59,0,0,12.732,98,0
12.096,80,90,3.1831,61,96,49,101,59,0,0,12.732,98,0
7.0028,57,90,3.1831,65,82,73,101,59,0,0,12.732,98,0
11.141,80,42,2.8648,65,26,68,101,59,0,0,12.732,98,0
9.5493,80,42,2.8648,28,26,68,101,59,0,0,19.099,98,0
21.327,80,19,3.5014,28,94,68,101,37,0,0,7.6394,98,0
14.642,80,20,4.138,65,26,68,101,37,0,0,12.732,98,0
5.4113,80,8,1.5915,65,71,68,101,59,0,0,1.9099,98,0
7.0028,80,90,3.1831,65,44,73,101,59,0,0,9.5493,98,0
8.5944,80,2,1.9099,65,71,68,101,59,0,0,12.732,98,0
6.0479,80,42,2.8648,65,71,73,101,37,0,0,11.141,98,0
10.504,80,18,3.8197,61,26,49,101,59,0,0,12.732,24,0
13.687,88,90,3.1831,61,26,49,101,59,0,0,15.915,98,0
6.6845,92,20,4.138,65,82,68,101,59,0,0,6.3662,98,0
13.051,80,42,2.8648,62,85,99,101,37,0,0,12.732,98,0
16.552,80,4,2.5465,102,71,70,21,59,189.08,0,12.732,98,0
7.9577,80,90,3.1831,62,71,73,21,37,0,0,6.3662,54,0
19.735,80,5,1.5915,61,34,49,101,59,0,0,11.141,98,0
18.78,57,42,2.8648,61,83,49,101,59,0,0,14.324,98,0
17.189,57,20,4.138,61,82,49,101,59,0,0,12.732,98,0
12.732,80,42,2.8648,65,71,68,101,37,0,0,11.141,98,0
14.642,36,42,2.8648,28,14,68,101,59,0,0,12.732,98,0
11.141,80,18,3.8197,65,34,68,101,37,0,0,19.099,98,0
10.823,80,42,2.8648,28,82,99,101,37,0,0,7.9577,98,0
10.504,80,20,4.138,65,85,73,101,59,0,0,6.3662,98,0
13.051,80,42,2.8648,28,14,99,101,37,0,0,11.459,98,0
5.7296,80,90,3.1831,65,58,73,21,59,0,0,12.732,98,0
7.3211,80,6,0.95493,65,71,73,101,37,0,0,12.732,32,0
8.2761,80,90,3.1831,65,82,68,101,37,0,0,11.141,98,0
22.918,80,42,2.8648,61,14,49,101,59,0,0,6.3662,98,0
14.961,57,42,2.8648,102,35,68,101,37,0,0,12.732,76,0
19.735,57,42,2.8648,61,96,49,101,59,0,0,7.0028,98,0
16.552,80,90,3.1831,61,96,49,21,59,0,0,12.732,98,0
